,subject_term,housing,bikes,homelessness,dogs,parks,construction,traffic,transit,noise,energy,climate,infrastructure,safety,arts,childcare,democracy,cost of living,healthcare,equity,business,sports,youth,max_val,max_cat,frequency,log_frequency,count
31,access toronto,0.5210770964622498,0.0498714707791805,0.02946113422513,0.0091113736853003,0.0662296786904335,0.242637038230896,0.9283266663551332,0.9440284967422484,0.0132951894775033,0.2702029943466186,0.2606582045555115,0.7266625165939331,0.3910606801509857,0.3008504509925842,0.0968169942498207,0.0916374400258064,0.3224720060825348,0.1901880055665969,0.4022285342216491,0.2062622308731079,0.0631936937570571,0.3658755719661712,0.9440284967422484,transit,1,0.0,1
32,accessibility,0.4116987586021423,0.1284193992614746,0.001593422028236,0.0074020512402057,0.2978523671627044,0.0282622445374727,0.1440237164497375,0.7054365277290344,0.0001573770568938,0.0335025712847709,0.1092517003417015,0.3766910135746002,0.04356524720788,0.1770360916852951,0.2486933767795562,0.1374546289443969,0.0117718577384948,0.3865388035774231,0.3240951895713806,0.1307493895292282,0.0451597198843956,0.3099399507045746,0.7054365277290344,transit,1,0.0,1
33,accessibility legislation,0.1319893151521682,0.0339395143091678,0.0074125649407505,0.0035178808029741,0.122824378311634,0.0049821883440017,0.0262719206511974,0.4104180037975311,0.0003215984615962,0.0568795688450336,0.0274826027452945,0.1197256669402122,0.0117411697283387,0.0158054027706384,0.0539202019572258,0.0249605774879455,0.0153174689039587,0.0944598540663719,0.2851686775684356,0.0076477034017443,0.0076661454513669,0.2299714833498001,0.4104180037975311,transit,1,0.0,1
34,accessibility standards,0.3746574521064758,0.0404988303780555,0.0055652679875493,0.0047719064168632,0.1847074329853058,0.0397417768836021,0.085186019539833,0.4506989419460296,0.0002595688565634,0.0734369233250618,0.0776257142424583,0.1491073071956634,0.0041812993586063,0.078544870018959,0.1445751339197158,0.0593256168067455,0.0231450553983449,0.3455686271190643,0.2255944609642028,0.0701755508780479,0.0281684547662735,0.161769151687622,0.4506989419460296,transit,1,0.0,1
35,accessible parking permits,0.0037840013392269,0.0454281382262706,5.722853529732674e-05,0.0020261565223336,0.9389808177947998,0.0009349100291728,0.0004999646916985,0.0003990998957306,0.0008316303137689,0.0020176584366708,0.0042272764258086,0.9621036648750304,0.9186129570007324,0.0022322640288621,0.0001477059413446,0.0172617398202419,0.0092425821349024,0.0001394691498717,0.7053217887878418,0.6801866888999939,0.0016562062082812,0.17903932929039,0.9621036648750304,infrastructure,1,0.0,1
36,accessible parking spaces,0.0007825235952623,0.0707558467984199,0.0001271820656256,0.0018737915670499,0.942763328552246,0.0010039977496489,0.0005254784482531,0.0001350101811112,0.0008160443976521,0.002280427608639,0.0169639345258474,0.9739207029342652,0.9790290594100952,0.0025364786852151,0.0001331012463197,0.0184852369129657,0.0089423088356852,0.000126050581457,0.8673616051673889,0.7731168270111084,0.005194014403969,0.2732012271881103,0.9790290594100952,safety,1,0.0,1
37,accessible permit parking,0.0207761116325855,0.1007707267999649,0.000235390747548,0.0051075923256576,0.9568551778793336,0.001104840543121,0.0017898224759846,0.0008440278470516,0.0013432526029646,0.0083673112094402,0.0237906258553266,0.9789926409721376,0.9474944472312928,0.004577515181154,0.0003203071537427,0.0315659567713737,0.0331665091216564,0.000360868347343,0.7756137847900391,0.7939103841781616,0.0055333753116428,0.2200232148170471,0.9789926409721376,infrastructure,1,0.0,1
38,accessible public transportation,0.0047408300451934,0.1519470959901809,0.0006017413106746,0.0015344363637268,0.0020817460026592,0.0006239887443371,0.0730882510542869,0.9938609004020692,0.0026784853544086,0.0008768453262746,0.0173465181142091,0.9637768268585204,0.9477859139442444,0.0008174122194759,0.0034163519740104,0.0470668524503707,0.0511579699814319,0.0001796657015802,0.6882368922233582,0.0024641782511025,0.0006422143196687,0.2893464565277099,0.9938609004020692,transit,1,0.0,1
39,accessible taxicabs,0.0004538650100585,0.0001297397684538,0.0002246589283458,0.0002076063101412,0.0005659868475049,0.0069156559184193,0.2552822232246399,0.7162126898765564,0.0009339307434856,0.0096062021329998,0.0180806424468755,0.9151711463928224,0.9630649089813232,0.0010034167207777,0.0003210139693692,0.0045892819762229,0.2853058576583862,0.0002681360347196,0.7080248594284058,0.8699988722801208,0.0007551723974756,0.2294233292341232,0.9630649089813232,safety,1,0.0,1
40,accessible transit,0.0059695215895771,0.4893244802951813,0.0007776792044751,0.003742684610188,0.0009712668252177,0.0009587230742909,0.1418594270944595,0.99175363779068,0.0023903143592178,0.0023407179396599,0.0051034339703619,0.9455299377441406,0.9759348034858704,0.0015628143446519,0.0017378578195348,0.0455965586006641,0.0167031660676002,0.0002479172253515,0.5555000305175781,0.002136361086741,0.0003045710909646,0.3766899108886719,0.99175363779068,transit,1,0.0,1
